notice_title,notice_deadline,org_country
Development Work On Pioneer Primary Establishments Reporting To The Provincial Directorate Of Essaouira Aref Marrakech- Safi In The Communities: Mejji And Mouarid Province Of Essaouira.,06/12/2026:12:00:00,MA
Ic-Financial Consultant For The Development Of The Yai,06/12/2026:12:30:00,GH
Development Work On Pioneer Primary Establishments Reporting To The Provincial Directorate Of Essaouira Aref Marrakech- Safi In The Communities: Tafettachte And Ait Said Province Of Essaouira.,06/12/2026:13:00:00,MA
Supply Of Dental Items From Authorized Dealers Under Framework Agreement,06/12/2026:14:00:00,TZ
Invitation To Tender For Ready-To-Use Therapeutic Food (Rutf).,06/14/2026:00:00:00,SO
Request For Expressions Of Interest For Consultancy Services For The Conducting Gender Action Learning System (Gals) Training And Integration Into Inclusive Rural Development Interventions Under The Adaptive Agriculture And Rangeland Rehabilitation (A2R2) Project,06/14/2026:00:00:00,SO
"Request For Expressions Of Interest For Consultancy Services For Development Of Participatory Field Indicators For The Local And National Land Degradation Neutrality (Ldn) Monitoring System, For Adaptive Agriculture And Rangeland Rehabilitation (A2R2) Project",06/14/2026:00:00:00,SO
"Terms Of Reference For Website Hosting, Design & Content Management System",06/15/2026:00:00:00,RW
Terms Of Reference For Microinsurance Market Assessment And Linkages With Agricultural Finance,06/15/2026:00:00:00,RW
Expression Of Interest (Eoi) For Egg Tray Production Line,06/15/2026:00:00:00,RW
Announcement Of An Open National Tender With A Minimum Capacity Requirement No. 2026/07,06/15/2026:00:00:00,DZ
Notice Of Open National Call For Tender With Minimum Capacity Requirement N°: 05 /Dot Alger Center/Sdfs/Dpm/2026,06/15/2026:00:00:00,DZ
Maintenance Service For Mobile Equipment On The Mmg Kinsevere Site,06/15/2026:00:00:00,CD
"Provision Of Inspection, Maintenance, Repair Services For Drizzit Oil-Water Separators",06/15/2026:00:00:00,CD
Replacement Of The Cctv Systems At Fsc House,06/15/2026:00:00:00,MU
Announcement Of An Open National Tender With A Minimum Capacity Requirement No. 2026/05,06/15/2026:00:00:00,DZ
Open National Call For Tender With Minimum Capacity Requirement N°: 07/2026,06/15/2026:00:00:00,DZ
Invitation For Supply Of Solar Panels And Accessories For Water Kiosk Furnishing,06/15/2026:04:06:00,ET
Rehabilitation Work On 06 (Six) Pioneering Primary Establishments Under The Provincial Management Of Aref Sm In Taroudant,06/15/2026:10:00:00,MA
"Purchase Of Public Lighting Maintenance Equipment Commune Dcheira Eljihadia Prefecture Of Inzgane Ait Melloul “Reserved For Very Small Businesses And Small And Medium-Sized National Businesses, Young Innovative Businesses, Cooperatives, Unions Of Cooperatives And Self-Employed Women”",06/15/2026:10:00:00,MA
"Eoi - Somalia - Conduct Environmental And Social Compliance Audit For Aefpf Project, Somalia Component - Aefpf Somalia",06/15/2026:10:00:00,SO
Consultancy Service For Advisory Services And Legal Specialist For The Gh-Respond,06/15/2026:10:00:00,GH
"Eoi - Somalia - Preparation Of A Project Completion Report For Aefpf Project, Somalia Component - Aefpf Somalia",06/15/2026:10:00:00,SO
"Maintenance And Repair Of Photocopiers, Printers And Dupli Copiers With Spare Parts For The Cnss Rabat-Salé Regional Directorate, Attached Agencies, The Dic And Collection In A Single Batch",06/15/2026:10:00:00,MA
Provision Of Psychotherapy Services,06/15/2026:10:00:00,RW
Cleaning Of Premises Of Health Services And Training Established By The Delegation Of The Ministry Of Health And Social Protection At The Prefecture Of The Casa-Anfa Districts (Single Batch),06/15/2026:10:30:00,MA
Completion Of Outstanding Works For The Microgrid Porject In Pofadder,06/15/2026:11:00:00,ZA
Rehabilitation Work On 04 (Four) Pioneer Primary Establishments Under The Provincial Management Of Aref Sm In Taroudant.,06/15/2026:11:00:00,MA
Works Of The Extension Of The A.E.P Network In Some Relevant Areas Of The Murleft Municipality,06/15/2026:11:00:00,MA
Renovation And Rehabilitation Work On A Company Residence - Fahs-Anjra Province.,06/15/2026:11:00:00,MA
Rfp Consultancy For Baseline Survey,06/15/2026:11:00:00,ZM
Supply And Delivery Of 50Kg (Cemii/A-L42.5N) Local Content Cement Bags To Mzimvubu Water Project – Access Road Near Maclear In The Eastern Cape Province.,06/15/2026:11:00:00,ZA
Service Provider To Print Occupational Certificates Until 31 March 2030,06/15/2026:11:00:00,ZA
Supply And Delivery Of Local Content 600Mm Diameter Concrete Stormwater Pipe Class 100D For Mzimvubu Water Project – Access Road Near Maclear In Eastern Cape Province,06/15/2026:11:00:00,ZA
Supply And Delivery Of G7 Gravel Material To Mzimvubu Water Project Near Maclear In The Eastern Cape Province.,06/15/2026:11:00:00,ZA
Supply And Delivery Of 19Mm Concrete Aggregates To Mzimvubu Waterproject – Access Road Near Maclear In The Eastern Cape Province.,06/15/2026:11:00:00,ZA
Development Of The Main Gate Of The Provincial Headquarters – Fahs Anjra Province.,06/15/2026:12:00:00,MA
Rehabilitation Work On 08 (Eight) Pioneer Primary Establishments Under The Provincial Management Of Aref Sm In Taroudant.,06/15/2026:12:00:00,MA
Development Work On The Track Leading To Douar “M’Sila”,06/15/2026:12:00:00,MA
Recrutement D’Une Entreprise Pour La Réalisation D’Un Système Hydraulique,06/15/2026:12:36:00,ML
Development Of Enhanced Verification And Utilization System,06/15/2026:13:00:00,GH
Request For Information (Rfi) Sibanye-Stillwater Ringfenced Rfi -Supply Of Stationery| Rustenburg Operations Pgm,06/15/2026:17:00:00,ZA
Request For Information (Rfi) Sibanye-Stillwater Ringfenced Rfi -Supply Of Stationery|Beatrix Operations Gold,06/15/2026:17:00:00,ZA
Request For Information (Rfi) Sibanye-Stillwater Ringfenced Rfi -Supply Of Stationery|Driefontein Operations Gold,06/15/2026:17:00:00,ZA
Request For Information (Rfi) Sibanye-Stillwater Ringfenced Rfi -Supply Of Stationery|Marikana Operations Pgm,06/15/2026:17:00:00,ZA
Request For Information (Rfi) Sibanye-Stillwater Ringfenced Rfi -Supply Of Stationery|Kloof Operations Gold,06/15/2026:17:00:00,ZA
The Purchase Of Laundry Equipment For The Benefit Of The Laayoune Regional Hospital Center.,06/16/2026:00:00:00,MA
"Construction Work For Official Housing For The Benefit Of Caïd Had Boumoussa, C.T Had Boumoussa Province Fquih Ben Salah.",06/16/2026:00:00:00,MA
Acquisition Of A Buckle Truck For The Needs Of The Community Of Agadir.,06/16/2026:00:00:00,MA
Research And Repair Of Leaks On The Drinking Water Distribution Network Of Centers And Towns In The Province Of Fkih Bensalah,06/16/2026:00:00:00,MA
"Office Supplies, On Behalf Of The Municipality Of Nador, Province Of Nador.",06/16/2026:00:00:00,MA
Supply And Installation Of Medico Technical Equipment For The Medical Imaging Service Reporting To The Provincial Hospital Center Of Chtouka Ait Baha,06/16/2026:00:00:00,MA
Acquisition Of Garbage Bins,06/16/2026:00:00:00,MA
"Purchase Of Medical Devices For Primary Health Care Establishments, Segma Hospital Centers Of The Ministry Of Health And Social Protection",06/16/2026:00:00:00,MA
"Technical Assistance For Monitoring The Development Work Of The Premises Of The Al Baraka Cooperative, As Part Of The Revitalization Program Of Moroccan Rural Territories Through Employment And Entrepreneurship In The Agricultural And Para-Agricultural Sector, Oued Ifrane Territorial Community, Province From Ifrane.",06/16/2026:00:00:00,MA
Rehabilitation Work On Mv/Lv Substations In Azilal Province,06/16/2026:00:00:00,MA
Construction Works Of 7 Miradors At The Bernardin Gantin Airport Of Cotonou,06/16/2026:00:00:00,BJ
Furnishing Work On The “Departure” Business Class Lounge (Continuation),06/16/2026:00:00:00,BJ
"Recruitment Of A Service Provider For The Implementation Of Flow Matrices At The Level Of Each Filtering Equipment (Firewall, Router, Etc.)",06/16/2026:00:00:00,BJ
"Annual Framework Agreement With A Purchase Order For Painting Work On The Landing Strip Markings, Ramps (Alpha And Bravo) And The Apron At Bernardin Gantin Airport In Cotonou.",06/16/2026:00:00:00,BJ
Study For The Development Work On The Runway Strip At Bernardin Gantin Airport In Cotonou.,06/16/2026:00:00:00,BJ
Recruitment Of A Firm For The Technical Assistance Mission Within The Framework Of Aca 1 Accreditation,06/16/2026:00:00:00,BJ
Recruitment Of A Service Provider For The Development Of The Sab It Master Plan,06/16/2026:00:00:00,BJ
Renewal Of Microsoft 365 Business Premium Annual Licenses,06/16/2026:00:00:00,BJ
Maintenance Of The Fire Detection And Extinguishing System In Mumi Warehouses,06/16/2026:00:00:00,CD
Transport Of Manganese Cakes,06/16/2026:00:00:00,CD
Purchase Of Tools And Laboratory Consumables For The Regional Agricultural Research Center Of Tangier In A Single Batch.,06/16/2026:00:00:00,MA
"Purchase Of Laboratory Chemicals, Phytosanitary Products And Fertilizers For The Regional Agricultural Research Center Of Tangier In Five Batches.",06/16/2026:00:00:00,MA
"Monitoring And Control Of The Quality Of Road Materials, Sanitation And Various Networks Of Works Relating To The Projects Proposed As Part Of The Upgrade Of The City Of Ait Ourir (Projects Financed By The M.A.T.P.U.V) Tranche 1",06/16/2026:00:00:00,MA
Supply Of Spare Parts For The Hta And Lv Networks Of The Srm Béni Mellal-Khénifra,06/16/2026:00:00:00,MA
Equipment At The Psychomotricity And Speech Therapy Center In Ain Atiq - Skhirate Temara Prefecture – Rabat Sale Kenitra Region -,06/16/2026:00:00:00,MA
Purchase Of Electrical Supplies For Routine Maintenance Of The Public Lighting Network.,06/16/2026:00:00:00,MA
Construction Works Of A Work Of Art On Oued Lahdar At Pk0+435 (Ex Pk17+565) Of The Rp5419 - Province Of Taza.,06/16/2026:00:00:00,MA
Research And Repair Of Leaks On The Drinking Water Distribution Network Of Centers And Towns In The Province Of Beni Mellal,06/16/2026:00:00:00,MA
Carrying Out An Ion Geochemistry Campaign In The Southern Provinces: Sampling And Chemical Analyzes,06/16/2026:00:00:00,MA
"Program For Catching Up Deficits And Strengthening Urban Infrastructures In The City Of Oujda: Upgrade Work On Boulevards Moulay El Hassan, Maghreb Arabe, Mohammed Derfoufi And Lieutenant Belhoucine",06/16/2026:00:00:00,MA
The Purchase Of Hospital Furniture For The Benefit Of The Laayoune Regional Hospital Center.,06/16/2026:00:00:00,MA
Purchase Of Toner For The Benefit Of The Municipality Of Taroudannt.,06/16/2026:00:00:00,MA
Acquisition Of A Double Cabin Pick Up Vehicle Equipped With A Spray Canon,06/16/2026:00:00:00,MA
Acquisition Of Three Trucks On Behalf Of The Municipality Of Séfrou,06/16/2026:00:00:00,MA
Beach Maintenance Work.,06/16/2026:00:00:00,MA
Organization Of Tiznit Promotional Days Abroad (City Of Grenoble) Year 2026,06/16/2026:00:00:00,MA
Work To Move Electrical Poles.,06/16/2026:00:00:00,MA
"Guarding, Security And Surveillance Services For The Buildings Of The Regional Representations Under The Moroccan Agency For Blood And Its Derivatives: Casablanca-Settat, Beni Mellal – Khenifra, Marrakech-Safi, Souss-Massa, Guelmim-Oued Noun, Laâyoune-Sakia El Hamra, Dakhla-Oued Ed Dahab",06/16/2026:00:00:00,MA
"Technical Study And Monitoring Of Drinking Water Pipeline Extension Works By Bf In Douars In The Communes Of Mestegmer, Tancherfi And Ahl Oued Za, Within The Framework Of The Indh -Province Of Taourirt, Oriental Region",06/16/2026:00:00:00,MA
Research And Repair Of Leaks On The Drinking Water Distribution Network Of Centers And Towns In The Province Of Azilal,06/16/2026:00:00:00,MA
"Lot 01: The Development And Rehabilitation Work Of The Pioneer Schools Hssaine Center, Tarselt, Kafrat And Aberbar, Under The Provincial Direction Of Chichaoua, Aref – Ms Lot 02: The Development And Rehabilitation Work Of The Pioneer Schools Bouanfir, Ait Hadi And Assour, Under The Provincial Direction Of Chichaoua, Aref – Ms Lot 03: The Development And Rehabilitation Work Of The Schools Pioneers Arzen, Jaafra And Aabad, Under The Provincial Leadership Of Chichaoua, Aref – Ms",06/16/2026:00:00:00,MA
Rehabilitation Work On Mv/Lv Substations In The Fkih Ben Saleh Province,06/16/2026:00:00:00,MA
"Carrying Out Control Tests And Monitoring The Quality Of Two-Layer Surface Coating And Environmental Treatment Works In Discontinuous Sections Of Rp7006 From Pk 12+600 To Pk 21+800, Rp7071 From Pk 0 To Pk 4+600, 7063 From Pk 0+000 To Pk 5+000, Rp 7055 From Pk 13+430 To Pk 17+750, Rp 7033, Rn13, Rn4, Rn6, Rn27, Rr705 And Rr701.",06/16/2026:00:00:00,MA
Reconstruction Work On The Tessema Football Stadium In Casablanca. Lot N°1: General Earthworks And Demolitions.,06/16/2026:00:00:00,MA
"Accommodation Provision, As Part Of Training, Seminars, Meetings, Exams And Competitions Organized By The Regional Center For Education And Training Professions Of Casablanca Settat",06/16/2026:00:00:00,MA
Research And Repair Of Leaks On The Drinking Water Distribution Network Of Centers And Towns In The Province Of Khenifra,06/16/2026:00:00:00,MA
"Preventive And Curative Maintenance Of Elevators (Patient Lifts And Freight Elevators) For The Benefit Of The Cnss Oujda Polyclinic, In A Single Batch And With A View To Concluding A Renewable Contract.",06/16/2026:00:00:00,MA
Research And Repair Of Leaks On The Drinking Water Distribution Network Of Centers And Towns In The Province Of Khouribga,06/16/2026:00:00:00,MA
Construction Of Local Land At The Tanomrite Douar At C.T Ait Ouallal; Province Of Zagora.,06/16/2026:00:00:00,MA
Work On The Creation Of Displays For The Sale Of Local Products In The Skhirate Community - Skhirate-Témara Prefecture.,06/16/2026:00:00:00,MA
“Control And Optimization Of Technical Studies And Control Of Construction Work Of The Urban Health Center Level 1 (Csu1) Bhalil In The Province Of Sefrou”,06/16/2026:00:00:00,MA
Supply Of Gravel For The Maintenance Of The Road Network Of The Dpetl Of Meknes – Campaign Plan 2026 -,06/16/2026:00:00:00,MA
Rehabilitation Work On The Nearby Sports Area Ighil Ouderdour,06/16/2026:00:00:00,MA
Gardening Services For The Benefit Of The Courts Of The Judicial District Of Casablanca. In Two Separate Batches.,06/16/2026:00:00:00,MA
Supply And Installation Of A Multidisciplinary Ct Scanner For The Edderak Berkane Hospital Under The Regional Directorate Of Health And Social Protection In The Oriental Region,06/16/2026:00:00:00,MA
Upkeep And Maintenance Of It Equipment: Sage X3 Software Package.,06/16/2026:00:00:00,MA
Development Work On A Second Chance Center - New Generation - In The Skhirate Community Within The Framework Of The Indh -Skhirate Temara Prefecture-,06/16/2026:00:00:00,MA
"Geotechnical Study, Receipt Of Excavation Funds And Quality Control Of Reconstruction Work On The Roches Noires Football Stadium In Casablanca",06/16/2026:00:00:00,MA
"Towing And Transport Of Motorcycles, Cars And Trucks For Impoundment In The Municipality Of Agadir.",06/16/2026:00:00:00,MA
Purchase Of Office Supplies In A Single Lot On Behalf Of The Ministry Of Justice,06/16/2026:00:00:00,MA
"Purchase Of Office Furniture Intended For The Central Service Of The Ministry Of Higher Education, Scientific Research And Innovation In Rabat In A Single Batch.",06/16/2026:00:00:00,MA
Development Work On The Annexes Of The Weekly Souk: Alleys &Amp; Grain Grain In The Commune Brachoua - Province Of Khemisset.,06/16/2026:00:00:00,MA
Acquisition Of Equipment To Fight Against Marine Pollution “Track N°2” At The Port Of Al Hoceima,06/16/2026:00:00:00,MA
Purchase Of Office Supplies For The Benefit Of The Municipality Of Taroudannt.,06/16/2026:00:00:00,MA
Management Of Medical And Pharmaceutical Waste From The Oujda Regional Hospital Center.,06/16/2026:00:00:00,MA
Rehabilitation Work On Mv/Lv Substations In Khouribga Province,06/16/2026:00:00:00,MA
Purchase Of Small Equipment For The Service Needs Of Green Spaces.,06/16/2026:00:00:00,MA
Development Of Fire Safety Studies And Coordination Of The Fire Safety System For The Reconstruction Project Of The Roches Noires Football Stadium In Casablanca,06/16/2026:00:00:00,MA
Maintenance Of Administrative Buildings In The Khouribga Province,06/16/2026:00:00:00,MA
Control And Optimization Of Technical Studies And Control Of Reconstruction Work On The Roches Noires Football Stadium In Casablanca,06/16/2026:00:00:00,MA
"“Maintenance Services For Gme Gas Pipeline Installations”, In Four (04) Lots: Lot N°1: “Semi-Annual Preventive And Corrective Maintenance Of Fire Defense Systems (Dci) Of Omco Gas Compression Stations (Buildings And Technical Premises)” Lot N°2: “Preventive And Semi-Annual Corrective Of Fire Defense Systems (Dci) Of Omco Gas Compression Stations (Hydraulic Fire Network)” Lot N°3: “Semannual Preventive And Corrective Maintenance Of Fire Defense Systems (Dci) Of Turbocompressors” Lot N°4: “Maintenance Preventive And Semi-Annual Corrective Of Electrical Installations In Omco Maintenance Centers »",06/16/2026:00:00:00,MA
Supply Of Springs For Bogies,06/16/2026:00:00:00,MA
Acquisition Of Waste Collection Equipment - Garbage Bins - For The Benefit Of The Community Machraa El Ain Province Of Taroudant.,06/16/2026:00:00:00,MA
Urban Road Works Relating To Road Safety.,06/16/2026:00:00:00,MA
"Development Of Technical Study And Monitoring Of Restructuring And Upgrading Works Of Douar Draid And Douar Zouaya In The Commune Of Chbanate, Province Of Sidi Kacem",06/16/2026:00:00:00,MA
Purchase Of Fuels And Lubricants For The Benefit Of The Municipality Of Taroudannt.,06/16/2026:00:00:00,MA
"Update Of Execution Study, Technical Assistance And Monitoring Of Work Of The Project To Protect The Center Of Gourrama-Province Of Midelt-Against Floods",06/16/2026:00:00:00,MA
Architectural Design And Monitoring Of Classroom Construction Work In Primary Education Establishments In Rural Areas In The Province Of Beni Mellal,06/16/2026:00:00:00,MA
"Technical Assistance For The Design And Implementation Of The Archives Management System For The Benefit Of The Human Resources Directorate Of The Ministry Of Higher Education, Scientific Research And Innovation In Rabat In A Single Batch.",06/16/2026:00:00:00,MA
Deepening Works And Drilling Equipment In The City Of Taroudannt.,06/16/2026:00:00:00,MA
The Provision Of A Lapping Machine,06/16/2026:00:00:00,MA
"Collective Catering Services For Holiday Colonies Under The Provincial Directorate Sidi Ifni Guelmim Oued Noun Region Of The Ministry Of Youth, Culture And Communication- Youth Department-- Single Lot –",06/16/2026:10:00:00,MA
"Ami - Mali - Carrying Out Technical And Environmental Studies, Developing The Tender File (Dao) And Monitoring-Control Of Equipment Construction Works - Parcb",06/16/2026:10:00:00,ML
Supply And Delivery Of 4X4 Single Cab Vehicle,06/16/2026:10:00:00,ZW
"Work To Create Concrete Roads In Various Douars, In The Commune Tadrart.",06/16/2026:11:00:00,MA
Providing Training And Production Workshops In Uthna Prison With Raw Materials And Work Requirements For The Year 2026 For The Second Time,06/16/2026:11:00:00,TN
Providing Training And Production Workshops In Uthna Prison With Primary Materials And Work Requirements For The Year 2026,06/16/2026:11:00:00,TN
Procurement Of 3No. 4X4 Pickup,06/16/2026:12:00:00,GH
Procurement Of Safety Data Collection And Processing System (Sdcps) And Risk Management Process For Kenya Airports Authority,06/17/2026:00:00:00,KE
Works Related To Electrical Transformers,06/17/2026:09:00:00,TN
Acquisition Of Media Equipment For The Benefit Of Specialized Training Centers For The General Administrations Of National Security,06/17/2026:09:00:00,TN
Acquisition Of Media Equipment For The Benefit Of Specialized Training Centers For The General Administrations Of National Security,06/17/2026:09:00:00,TN
Exhaustive Census And Geo-Spatialization Of Undeveloped Land In The Municipality Of Casablanca (Single Market).,06/17/2026:10:00:00,MA
"Supply, Deliver And Service 6-Flushable Chemical Toilets In Midmar Access Roads Project For 7 Months In Midmar Dam Near Howick Town, Kwazulu Natal Province.",06/17/2026:11:00:00,ZA
Routine Maintenance Work On Green Spaces And Gardens,06/17/2026:11:00:00,MA
Appointment Of Accredited Training Institution/S To Train: Accelerated Proffessional Trade Competency Development (Aptcod- Artisans) And National Youth Service (Nys) Participants For A Period Of 1 (One) Year As Per Specification To The Eastern Cape Department Of Public Works & Infrastructure.,06/17/2026:11:00:00,ZA
Appointment Of A Service Provider For The Supply And Delivery Of Uniform And Ppe For Health And Environmental Services Officials,06/17/2026:12:00:00,ZA
Request For Quotation (Rfq) For The Agreement / Contract Needed For A Period Of 36 Months For The Repairs Of An S1 Remote Control Equipment (Signal) In The Kzn Region On An As And When Required Basis,06/17/2026:12:00:00,ZA
"Demarcation And Security Of The Kiribéné-Nimbéré Passage Corridors, From The Camps To The Ningoussourou Gabinou Classified Forest Grazing Area And, To The Kika Dam And The Séké Pastoral Borehole (2 Lots)",06/18/2026:00:00:00,BJ
Tender Notice For Construction Of Main Gate -Cowshed Latrines And Pit Latrines At Gah Ltd,06/18/2026:00:00:00,RW
"Notice Of Open National Call For Tender N°002Bis/Aono/Re/Ddk/C-Kette/Sg/Cipm/2026 Of May 21, 2026 Under Emergency Procedure For Lot 3: Construction Of A Hangar At The 3Rd Degree Cheffery Of Wantamo Village, Kadey Department, Region Of The East.",06/18/2026:09:00:00,CM
Acquisition Of Two Trucks On Behalf Of The Municipality Of Sefrou,06/18/2026:10:00:00,MA
Matriculation Gowns,06/18/2026:10:00:00,GH
Procurement Of 800No. Dual Desks And 300No. Mono Desks For Schools In The District,06/18/2026:10:00:00,GH
"Security, Surveillance And Guarding Of The Premises Of The Logistics And Materials Service Of Agadir",06/18/2026:10:30:00,MA
Graduation Gowns For Masters And Undergraduate,06/18/2026:10:59:00,GH
Reconnaissance Drilling Work And Their Transformation Into Exploitation Drilling For The Supply Of Drinking Water From Douar Anmiter To The Territorial Commune Iminoulaoune Province Of Ouarzazate,06/18/2026:11:00:00,MA
Supply And Delivery Of One Extended Cab Bakkie,06/18/2026:12:00:00,ZA
Development Work On The Track Leading To Douar “Taher”,06/18/2026:12:00:00,MA
Air Conditioners,06/18/2026:12:00:00,GH
Appointment Of A Service Provider To Supply And Deliver One Firewater Carrier,06/18/2026:12:00:00,ZA
"Provision Of Grounds Maintenance, Horticultural, Alien And Invasive Plants Removal And Control Services At Matla Power Station At Matla Power Station And Kriel Town Eskom Offices And Flats For A Period Of 36 Months.",06/19/2026:10:00:00,ZA
"Provision Of Grounds Maintenance, Horticultural, Alien And Invasive Plants Removal And Control Services At Matla Power Station At Matla Power Station And Kriel Town Eskom Offices And Flats For A Period Of 36 Months.",06/19/2026:10:00:00,ZA
"The Appointment Of A Service Provider For The Supply, Delivery And Installation Of Wallpaper Branding At The 4Ir Building, Mossel Bay Campus, South Cape Tvet College.",06/19/2026:11:00:00,ZA
Ami - Burundi - Carrying Out A Feasibility Study For An Energy Recovery Project From The Waste Sector In The Imbo Region Of Burundi And In The Ruzizi Plain (Est-Drc) - Proapac,06/19/2026:12:00:00,BI
Appointment Of A Service Provider To Supply And Deliver Two (2) Compressed Air Foams,06/19/2026:12:00:00,ZA
Rfi_Renewable Energy Wheeling,06/19/2026:13:30:00,ZA
The Provision Of Photographic Services At Graduation And Related Ceremonies,06/19/2026:23:59:00,ZA
"Call For Proposal To Implement Rule Of Law, Security And Human Rights Strengthening Activities In Northern Bahr El Ghazal, Central Equatoria, And Upper Nile States",06/20/2026:00:00:00,SS
Organization Of Summer Vacations For The Staff Of The Charles Nicolle Hospital,06/20/2026:10:00:00,TN
Qualified Trainers In Crafts And Traditional Knowledge-Face Tunisia,06/21/2026:00:00:00,TN
Rehabilitation Of Penstock At Le Val Hydro Power Station,06/22/2026:00:00:00,MU
Chief Financial Officer (Cfo),06/22/2026:00:00:00,RW
Construction Of The Stands And Changing Rooms Of The Hammamet Football Field (3),06/22/2026:09:00:00,TN
"Supervision Of Rehabilitation And Maintenance Of The Roads, Brigdes And Ravines",06/22/2026:10:00:00,RW
"Supply, Delivering And Installation Of 120M -150M Horizontal Directional Pipe Drilling At Koedoespoort Transnet Engineering Depot.",06/22/2026:10:00:00,ZA
"Notice Of Open National Call For Tender N° 007/Aono/C.Mrou/Cipm/2026 Of May 25, 2026 Under Emergency Procedure For The Purchase Of An Agricultural Tractor In The Commune Of Mindourou, Haut-Nyong Department, Eastern Region (Single Lot) Financing: Budget Public Investment - Fy 2026 -",06/22/2026:10:00:00,CM
Architectural Study And Monitoring Of The Construction Works Of The Caid Housing Of Ksar Sghir And The Housing Of The Pasha Of The Tangier Med District - Fahs Anjra Province.,06/22/2026:11:00:00,MA
"Notice Of Open National Call For Tender N° 006/Aono/C.Mrou/Cipm/2026 Of 05/25/2026 (Under Emergency Procedure) For The Construction Of Certain Public Infrastructures In The Commune Of Mindourou, Haut-Nyong Department, Eastern Region Financing: Public Investment Budget - Financial Year 2026 -",06/22/2026:11:00:00,CM
Purchase Of Office Supply,06/22/2026:11:00:00,RW
Real Estate Analytics Services For Nouakchott Coastline Development,06/22/2026:11:00:59,MR
Request For Proposal [Rfp] For The Appointment Of An Additional Panel Of A Transactions (Or Consortium Of Service Providers) To Form Part Of An Existing Panel To Provide Transaction Advisory Services For The Remaining Period.,06/22/2026:12:00:00,ZA
Supply And Installation Of Irrigation System,06/22/2026:12:00:00,ZW
Provision Of Service And Maintenance Of Motor Vehicle And Yellow Equipment Under Framework Agreement,06/22/2026:12:00:00,ZW
Request For Proposal [Rfp] For The Appointment Of An Additional Panel Of A Transactions (Or Consortium Of Service Providers) To Form Part Of An Existing Panel To Provide Transaction Advisory Services For The Remaining Period.,06/22/2026:12:00:00,ZA
Request Quotation For Papi’S Verification And Calibration For A Period Of 12 Months At Kimberley Airport,06/22/2026:14:00:00,ZA
Request Quotation For The Appointment Of A Professional Service Provider To Undertake The Design And Development Of Stages 1–6 For Air Handling Units (Ahu) And Fan Coil Units (Fcu) For A Period Not Exceeding Thirty-Six (36) Months At Capetown International Airport,06/22/2026:14:00:00,ZA
